mode,load,0_resnet152-2,1_vgg19-2,2_vgg19-2
mps-uncap,0.8,15.921902656555176,4.220485687255859,4.220700263977051
mps-uncap,0.9,18.187665939331055,4.2934417724609375,4.382991790771484
mps-uncap,1.0,19.2488431930542,4.488205909729004,4.579257965087891
mps-uncap,0.5,15.180587768554688,3.6434173583984375,3.720569610595703
mps-uncap,0.6,14.681529998779297,3.893136978149414,3.8413524627685547
mps-uncap,0.7,14.933967590332031,3.964734077453614,4.03752326965332
mps-uncap,0.1,18.342971801757812,2.7864694595336923,2.7743339538574223
mps-uncap,0.2,18.252015113830566,3.2029628753662105,3.2949447631835946
mps-uncap,0.3,17.97175407409668,3.4613609313964844,3.4868717193603525
mps-uncap,0.4,17.490005493164062,3.6265134811401367,3.619909286499024
