mode,load,0_inception_v3-4,1_resnet50-4,2_vgg19-32
mps-uncap,0.8,143.74136924743652,129.99147176742554,214.5621871948242
mps-uncap,0.9,825.3870964050293,229.91144657135015,565.6478357315063
mps-uncap,1.0,921.559150218963,858.5178613662721,603.5370445251464
mps-uncap,0.5,63.92349243164064,39.96499300003052,77.47004032135014
mps-uncap,0.6,73.85343313217162,57.53493309020995,115.13042449951173
mps-uncap,0.7,110.52563190460205,64.16917800903323,156.41463279724096
mps-uncap,0.1,24.708137512207028,22.61704921722412,34.64066982269287
mps-uncap,0.2,34.11219120025635,23.490746021270745,45.905106067657414
mps-uncap,0.3,37.75395870208736,25.416698455810543,47.18747377395633
mps-uncap,0.4,45.45016765594482,33.93205642700194,68.23247432708743
