mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,104.24523353576663,19.21746253967285,26.239631175994873
mps-uncap,0.9,227.26325035095195,45.74145317077623,46.99221849441529
mps-uncap,1.0,1588.390498161316,52.397990226745605,151.5285015106193
mps-uncap,0.5,46.71723127365108,18.05672645568847,12.262392044067392
mps-uncap,0.6,58.762578964233406,17.172923088073727,15.047924518585207
mps-uncap,0.7,79.81829643249507,15.806226730346681,19.744205474853512
mps-uncap,0.1,44.67672348022461,11.40598058700561,5.876917839050292
mps-uncap,0.2,39.69318389892588,14.405381679534901,6.90809726715088
mps-uncap,0.3,46.14392995834349,15.863285064697266,8.942761421203613
mps-uncap,0.4,41.63814067840577,17.48257398605347,10.451641082763672
