mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,10.152578353881836,2.195119857788086,2.9764175415039062
mps-uncap,0.9,10.675191879272461,2.2568702697753906,2.9637813568115234
mps-uncap,1.0,10.460615158081055,2.2268295288085938,2.9726028442382812
mps-uncap,0.5,10.217428207397461,2.3097991943359375,2.964496612548828
mps-uncap,0.6,10.155439376831055,2.2165775299072266,2.966642379760742
mps-uncap,0.7,10.29515266418457,2.197742462158203,2.9659271240234375
mps-uncap,0.1,10.379314422607422,2.2699832916259766,2.9838085174560547
mps-uncap,0.2,10.603189468383789,2.2187232971191406,2.9790401458740234
mps-uncap,0.3,10.150671005249023,2.2170543670654297,2.9785633087158203
mps-uncap,0.4,10.306835174560547,2.209186553955078,2.9768943786621094
