mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,85.83772182464612,15.909638404846191,22.648971080780072
mps-uncap,0.9,210.17477512359616,42.092251777648904,43.458750247955344
mps-uncap,1.0,1568.3022212982178,49.16713237762458,147.5438523292532
mps-uncap,0.5,32.36677646636961,14.338684082031246,8.884012699127217
mps-uncap,0.6,44.57379341125493,13.915963172912567,11.527566909790051
mps-uncap,0.7,65.32228469848616,12.470846176147464,15.967950820922775
mps-uncap,0.1,24.54465866088864,5.937361717224121,2.8041028976440407
mps-uncap,0.2,21.030054092407237,9.314148426055906,3.583097457885742
mps-uncap,0.3,29.335954189300537,10.926847457885746,5.5487966537475595
mps-uncap,0.4,28.166010379791274,13.179759979248058,7.076101303100587
