mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,16.108274459838867,3.185749053955078,3.5250186920166016
mps-uncap,0.9,19.491076469421387,3.444194793701172,3.614187240600586
mps-uncap,1.0,20.672321319580078,3.449678421020508,3.7952661514282227
mps-uncap,0.5,14.105796813964844,3.882884979248047,3.161191940307617
mps-uncap,0.6,14.339923858642578,3.5467147827148438,3.2188892364501953
mps-uncap,0.7,14.75977897644043,3.213644027709961,3.387451171875
mps-uncap,0.1,22.353649139404297,5.523443222045898,3.0536651611328125
mps-uncap,0.2,18.415451049804688,5.334019660949707,3.0536651611328125
mps-uncap,0.3,17.316460609436035,5.288481712341309,3.1080245971679688
mps-uncap,0.4,15.588879585266113,4.529833793640137,3.1336545944213867
