mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,155.33900260925293,33.49924087524414,39.54601287841797
mps-uncap,0.9,271.0742950439453,70.41478157043457,66.32804870605469
mps-uncap,1.0,1618.42942237854,69.58580017089844,190.90509414672852
mps-uncap,0.5,50.08649826049805,23.093223571777344,19.327402114868164
mps-uncap,0.6,74.37825202941895,25.539875030517578,24.92809295654297
mps-uncap,0.7,105.00693321228027,19.626855850219727,31.849384307861328
mps-uncap,0.1,36.72480583190918,11.47913932800293,4.43267822265625
mps-uncap,0.2,25.577545166015625,17.621994018554688,6.146907806396484
mps-uncap,0.3,45.85409164428711,20.195960998535156,11.744976043701172
mps-uncap,0.4,43.77150535583496,19.697904586791992,14.746665954589844
