mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,157.26381838585147,409.39080758137294,3179.6841778516764
mps-uncap,0.9,180.91393015559296,461.74506245768157,3625.5734876246092
mps-uncap,1.0,198.3729498553435,493.6226222518282,3971.2672698290353
mps-uncap,0.5,96.02247118384507,251.3072135788661,2006.9055930924371
mps-uncap,0.6,116.86444385586283,312.7621693642153,2388.634362212463
mps-uncap,0.7,140.90854608233778,351.01668466535574,2766.4322667740785
mps-uncap,0.1,21.796106591674803,50.429244342641965,383.038949774639
mps-uncap,0.2,35.610241542462944,102.17697533675208,800.8064543527998
mps-uncap,0.3,61.92350824898958,150.6391100625384,1184.5968859640313
mps-uncap,0.4,77.87295460545259,202.4716136159395,1575.4700380616612
