mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,168.9736843109131,36.84115409851074,42.63162612915039
mps-uncap,0.9,290.1885509490967,73.64535331726074,70.4793930053711
mps-uncap,1.0,1639.814853668213,72.98398017883301,194.9310302734375
mps-uncap,0.5,64.00012969970703,27.504682540893555,23.339271545410156
mps-uncap,0.6,92.67640113830566,28.977155685424805,28.537988662719727
mps-uncap,0.7,124.14956092834473,22.852182388305664,35.19606590270996
mps-uncap,0.1,53.182363510131836,17.36903190612793,7.43556022644043
mps-uncap,0.2,46.83732986450195,22.283077239990234,9.197235107421875
mps-uncap,0.3,57.54971504211426,24.907350540161133,15.093088150024414
mps-uncap,0.4,56.1823844909668,23.374319076538086,17.705678939819336
