mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,10.01286506652832,2.153635025024414,2.9611587524414062
mps-uncap,0.9,10.338783264160156,2.198457717895508,2.9447078704833984
mps-uncap,1.0,10.154962539672852,2.191781997680664,2.954244613647461
mps-uncap,0.5,10.060310363769531,2.270936965942383,2.947568893432617
mps-uncap,0.6,10.067224502563477,2.179384231567383,2.9523372650146484
mps-uncap,0.7,10.171651840209961,2.1567344665527344,2.9494762420654297
mps-uncap,0.1,10.21265983581543,2.202749252319336,2.9687881469726562
mps-uncap,0.2,10.327816009521484,2.18963623046875,2.9675960540771484
mps-uncap,0.3,10.076045989990234,2.1750926971435547,2.965688705444336
mps-uncap,0.4,10.179281234741211,2.1839141845703125,2.9587745666503906
