mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,0.011920928955078125,0.008344650268554688,0.008344650268554688
mps-uncap,0.9,0.011920928955078125,0.00858306884765625,0.008821487426757812
mps-uncap,1.0,0.012874603271484375,0.007867813110351562,0.008106231689453125
mps-uncap,0.5,0.01049041748046875,0.010013580322265625,0.010013580322265625
mps-uncap,0.6,0.010013580322265625,0.00858306884765625,0.007867813110351562
mps-uncap,0.7,0.011920928955078125,0.00858306884765625,0.008344650268554688
mps-uncap,0.1,0.014543533325195312,0.010728836059570312,0.01049041748046875
mps-uncap,0.2,0.012159347534179688,0.010251998901367188,0.010251998901367188
mps-uncap,0.3,0.011920928955078125,0.009775161743164062,0.010251998901367188
mps-uncap,0.4,0.01239776611328125,0.0095367431640625,0.01049041748046875
