mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,55.762529373168945,10.582494735717779,14.671158790588379
mps-uncap,0.9,153.30586433410642,22.938871383666992,26.42912864685059
mps-uncap,1.0,1316.709804534912,28.19204330444336,85.04569530487062
mps-uncap,0.5,28.92894744873047,10.390520095825195,7.094264030456543
mps-uncap,0.6,32.80191421508789,9.550762176513672,8.761382102966307
mps-uncap,0.7,41.53513908386232,9.050655364990233,11.073541641235352
mps-uncap,0.1,25.422859191894535,6.751894950866699,3.58884334564209
mps-uncap,0.2,26.34396553039551,9.140777587890632,4.441404342651367
mps-uncap,0.3,27.710986137390144,10.43703556060791,5.520725250244139
mps-uncap,0.4,27.23212242126466,11.058688163757328,6.139445304870606
