mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,20.905733108520508,3.9612293243408208,3.977537155151367
mps-uncap,0.9,21.833348274230957,4.111671447753906,4.030942916870117
mps-uncap,1.0,21.6372013092041,3.9021968841552734,4.213500022888184
mps-uncap,0.5,18.67079734802246,5.228519439697266,3.7473440170288086
mps-uncap,0.6,19.441556930541992,4.423999786376953,3.8321256637573238
mps-uncap,0.7,19.04926300048828,4.091119766235352,3.9649486541748047
mps-uncap,0.1,24.94969367980957,5.975127220153809,3.3521175384521493
mps-uncap,0.2,24.45659637451172,5.808901786804199,3.518247604370117
mps-uncap,0.3,20.55785655975342,5.79524040222168,3.640604019165039
mps-uncap,0.4,19.13855075836182,5.682492256164551,3.7794113159179688
