mode,load,0_efficientnet_b6-4,1_mobilenet_v2-2,2_squeezenet1_0-16
mps-uncap,0.8,22.079539299011234,4.614968299865723,4.181623458862305
mps-uncap,0.9,22.39666223526001,4.95206356048584,4.196434020996095
mps-uncap,1.0,22.22752571105957,4.30607795715332,4.378781318664551
mps-uncap,0.5,20.897524356842037,5.965137481689453,4.130887985229492
mps-uncap,0.6,21.34222984313965,5.403113365173339,4.154047966003418
mps-uncap,0.7,20.272293090820305,4.877500534057624,4.30729866027832
mps-uncap,0.1,25.660781860351562,6.416153907775878,3.901979923248289
mps-uncap,0.2,25.834574699401855,6.295230388641357,4.039855003356934
mps-uncap,0.3,24.898993968963623,6.320557594299317,4.093351364135743
mps-uncap,0.4,21.663866043090824,6.318461894989015,4.23722505569458
