mode,load,0_resnet101-8,1_resnet18-32,2_squeezenet1_0-8
mps-uncap,0.8,315.8905112547013,3886.8455783820555,1242.4610332117416
mps-uncap,0.9,345.76047156943963,4206.589478783526,1442.4582158176092
mps-uncap,1.0,384.19936952386354,3954.283862622513,1541.4118350317208
mps-uncap,0.5,193.1264844731434,2337.8170324720636,789.7906472917116
mps-uncap,0.6,224.19594313895487,2816.5675888335263,917.894380165537
mps-uncap,0.7,270.778731342384,3379.696406722477,1111.7179272685746
mps-uncap,0.1,37.49801520938997,457.02341583806856,157.84556012128897
mps-uncap,0.2,70.53833012363174,930.4619558609346,323.56398437269513
mps-uncap,0.3,110.34815782687116,1414.101033412426,468.30828417591556
mps-uncap,0.4,151.64325373626642,1900.6784925386155,622.5332063113949
