mode,load,0_resnet101-8,1_resnet18-32,2_squeezenet1_0-8
mps-uncap,0.8,20.35380363464356,10.149707794189448,7.767410278320307
mps-uncap,0.9,23.419132232666016,8.899679183959961,7.913465499877929
mps-uncap,1.0,23.705666065216064,9.316115379333496,7.152762413024902
mps-uncap,0.5,19.873454570770274,11.322250366210934,6.87596082687378
mps-uncap,0.6,21.636552810668945,10.541157722473145,7.580485343933107
mps-uncap,0.7,19.963896274566643,11.117358207702633,7.820289134979248
mps-uncap,0.1,22.871174812316898,11.247634887695312,7.113065719604492
mps-uncap,0.2,21.839427947998047,10.084192752838135,6.99042320251465
mps-uncap,0.3,21.9813346862793,10.663313865661616,6.326768398284912
mps-uncap,0.4,21.154570579528812,11.022090911865234,6.784822940826416
