mode,load,0_alexnet-8,1_densenet161-4,2_vgg11-4
mps-uncap,0.8,2964.169073520606,122.49955328971701,943.6126578788763
mps-uncap,0.9,3324.0265654508735,141.09458593768187,1036.667155235328
mps-uncap,1.0,3596.4839132281954,134.0820369785777,1094.2573169891077
mps-uncap,0.5,1788.4097971387375,78.05559479858888,585.9655544122347
mps-uncap,0.6,2220.3779021631626,90.94951953094922,684.8455457768091
mps-uncap,0.7,2575.4054776044936,107.12944702713457,818.1473889672864
mps-uncap,0.1,368.77498594855444,16.01155448869939,115.83701271978757
mps-uncap,0.2,739.0165242854227,31.059916712103476,232.08427129163854
mps-uncap,0.3,1114.657268092796,49.4256776909063,353.8877324614789
mps-uncap,0.4,1472.0836971848962,60.29526558757585,472.53778662119043
