mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,5.93256950378418,3.8902759552001953,2.9375553131103516
mps-uncap,0.9,4.859209060668945,3.5347938537597656,2.8371810913085938
mps-uncap,1.0,5.041360855102539,3.6177635192871094,2.9404163360595703
mps-uncap,0.5,6.7882537841796875,5.925893783569336,3.363370895385742
mps-uncap,0.6,6.230831146240234,5.58018684387207,3.076314926147461
mps-uncap,0.7,5.825519561767578,4.958629608154297,2.882242202758789
mps-uncap,0.1,9.14311408996582,7.1048736572265625,3.280162811279297
mps-uncap,0.2,8.994340896606445,7.154941558837891,3.331422805786133
mps-uncap,0.3,8.314132690429688,7.482767105102539,3.389596939086914
mps-uncap,0.4,7.689476013183594,6.659030914306641,3.3490657806396484
