mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,37.68777847290039,28.42998504638672,26.368141174316406
mps-uncap,0.9,70.90520858764648,87.9824161529541,22.035598754882812
mps-uncap,1.0,239.63594436645508,191.5111541748047,67.36588478088379
mps-uncap,0.5,23.030757904052734,29.463768005371094,15.100717544555664
mps-uncap,0.6,26.762962341308594,19.828319549560547,18.525362014770508
mps-uncap,0.7,28.500080108642578,21.43716812133789,17.094135284423828
mps-uncap,0.1,25.20918846130371,20.55072784423828,7.345438003540039
mps-uncap,0.2,32.227277755737305,26.59320831298828,10.565519332885742
mps-uncap,0.3,38.73610496520996,31.137943267822266,16.852617263793945
mps-uncap,0.4,26.750564575195312,24.175643920898438,16.043901443481445
