mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,1042.900665708208,1250.4148049176388,3626.651979624673
mps-uncap,0.9,1206.282250013615,1406.9943070092427,4010.342915883536
mps-uncap,1.0,1353.9101330115918,1579.353468205598,4503.95003898725
mps-uncap,0.5,665.7415978860239,812.7881660388346,2254.730545651379
mps-uncap,0.6,773.5857957754388,942.3022536925993,2729.102341684213
mps-uncap,0.7,912.0988056941527,1106.1677837022987,3183.1226066871573
mps-uncap,0.1,130.31986487935535,160.80903645916396,461.6284835569643
mps-uncap,0.2,265.7645365626078,319.6280962122414,903.2998176761679
mps-uncap,0.3,397.3483756790788,469.49003680113583,1376.3300052170455
mps-uncap,0.4,538.9435143284311,646.3837003238327,1796.6738675924441
