mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,2.816438674926758,2.4268627166748047,1.6245841979980469
mps-uncap,0.9,2.8448104858398438,2.4881362915039062,1.5795230865478516
mps-uncap,1.0,2.8917789459228516,2.471923828125,1.6818046569824219
mps-uncap,0.5,2.8934478759765625,2.444744110107422,1.689910888671875
mps-uncap,0.6,2.8722286224365234,2.4538040161132812,1.6520023345947266
mps-uncap,0.7,2.845287322998047,2.4633407592773438,1.6067028045654297
mps-uncap,0.1,7.011175155639648,5.807161331176758,2.4799108505249023
mps-uncap,0.2,6.528139114379883,5.671501159667969,2.5783777236938477
mps-uncap,0.3,4.508614540100098,3.902912139892578,2.4895668029785156
mps-uncap,0.4,3.6864280700683594,3.500223159790039,2.233147621154785
