mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,2.619028091430664,2.278566360473633,1.321554183959961
mps-uncap,0.9,2.657175064086914,2.3238658905029297,1.323699951171875
mps-uncap,1.0,2.7246475219726562,2.287626266479492,1.3213157653808594
mps-uncap,0.5,2.687692642211914,2.267122268676758,1.3260841369628906
mps-uncap,0.6,2.6934146881103516,2.3033618927001953,1.313924789428711
mps-uncap,0.7,2.6655197143554688,2.3050308227539062,1.322031021118164
mps-uncap,0.1,2.753734588623047,2.339601516723633,1.3179779052734375
mps-uncap,0.2,2.751588821411133,2.287626266479492,1.3270378112792969
mps-uncap,0.3,2.670764923095703,2.290010452270508,1.3225078582763672
mps-uncap,0.4,2.6705265045166016,2.248048782348633,1.3241767883300781
