mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,5.445003509521484,4.941701889038086,2.93886661529541
mps-uncap,0.9,8.473992347717285,9.85419750213623,3.331780433654785
mps-uncap,1.0,73.00615310668945,61.621665954589844,10.263323783874512
mps-uncap,0.5,4.328489303588867,3.5593509674072266,2.4237632751464844
mps-uncap,0.6,4.160761833190918,3.5871267318725586,2.1840333938598633
mps-uncap,0.7,4.708766937255859,4.0770769119262695,2.3251771926879883
mps-uncap,0.1,7.254838943481445,6.046533584594727,2.5861263275146484
mps-uncap,0.2,7.311105728149414,6.205320358276367,2.797722816467285
mps-uncap,0.3,5.887389183044434,5.260944366455078,2.801179885864258
mps-uncap,0.4,4.805326461791992,4.130005836486816,2.6062726974487305
