mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,2.9594898223876953,2.570629119873047,1.7483234405517578
mps-uncap,0.9,2.971172332763672,2.634286880493164,1.6684293746948247
mps-uncap,1.0,2.9931068420410156,2.6133060455322266,1.7650127410888672
mps-uncap,0.5,4.543042182922363,3.8277149200439458,2.325773239135742
mps-uncap,0.6,3.1718254089355464,2.6412010192871094,1.9960165023803715
mps-uncap,0.7,3.0007362365722656,2.625918388366699,1.7375946044921875
mps-uncap,0.1,7.674932479858398,6.2717437744140625,2.7054786682128906
mps-uncap,0.2,7.684326171875,6.377625465393066,2.848219871520996
mps-uncap,0.3,6.468391418457031,5.704689025878906,2.785205841064453
mps-uncap,0.4,4.787015914916992,4.063153266906739,2.546072006225586
