mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,10.410881042480469,10.256052017211914,5.556344985961918
mps-uncap,0.9,20.97504138946533,27.414965629577647,6.908226013183596
mps-uncap,1.0,152.5148868560791,131.3587188720703,28.705835342407227
mps-uncap,0.5,5.592298507690429,4.456496238708501,3.248405456542969
mps-uncap,0.6,5.716228485107421,4.845142364501953,3.2538890838623056
mps-uncap,0.7,7.699275016784671,6.463408470153809,3.8459300994873047
mps-uncap,0.1,4.219770431518555,3.8903713226318355,0.7297992706298833
mps-uncap,0.2,6.78253173828125,6.247758865356445,2.1932601928710938
mps-uncap,0.3,6.941509246826171,5.993247032165527,2.8647184371948238
mps-uncap,0.4,5.979061126708984,5.717349052429201,3.376936912536621
