mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,2.670764923095703,2.312183380126953,1.33514404296875
mps-uncap,0.9,2.7167797088623047,2.370595932006836,1.3380050659179688
mps-uncap,1.0,2.8111934661865234,2.3527145385742188,1.4195442199707031
mps-uncap,0.5,2.733945846557617,2.3043155670166016,1.338958740234375
mps-uncap,0.6,2.7418136596679688,2.329111099243164,1.3272762298583984
mps-uncap,0.7,2.7196407318115234,2.3429393768310547,1.3365745544433594
mps-uncap,0.1,2.7861595153808594,2.4156570434570312,1.3327598571777344
mps-uncap,0.2,2.831697463989258,2.3381710052490234,1.3396739959716797
mps-uncap,0.3,2.7208328247070312,2.3200511932373047,1.3380050659179688
mps-uncap,0.4,2.716541290283203,2.2954940795898438,1.3377666473388672
