mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,3.2194328308105473,2.715616226196288,1.8162727355957031
mps-uncap,0.9,3.1222772598266615,2.7595973014831543,1.7240047454833984
mps-uncap,1.0,3.111600875854492,2.7136802673339844,1.8205642700195312
mps-uncap,0.5,5.371592044830323,4.365448951721192,2.6016950607299787
mps-uncap,0.6,4.692025184631347,3.912889957427978,2.3146748542785645
mps-uncap,0.7,4.12717819213867,3.0814599990844695,1.8117427825927734
mps-uncap,0.1,8.109569549560547,6.766963005065915,2.9290986061096187
mps-uncap,0.2,8.080739974975586,6.741251945495604,2.9980468750000004
mps-uncap,0.3,7.520740032196045,6.5833044052124015,2.9588007926940896
mps-uncap,0.4,6.419363021850587,5.6168413162231445,2.839968204498291
