mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_squeezenet1_1-8
mps-uncap,0.8,2.6345252990722656,2.5014877319335938,1.3425350189208984
mps-uncap,0.9,5.6351423263549805,7.356524467468262,1.764059066772461
mps-uncap,1.0,70.0526237487793,59.15546417236328,8.603572845458984
mps-uncap,0.5,0.5805492401123047,0.39505958557128906,0.2703666687011719
mps-uncap,0.6,0.9958744049072266,1.015782356262207,0.4317760467529297
mps-uncap,0.7,1.8520355224609375,1.6196966171264648,0.7475614547729492
mps-uncap,0.1,0.04935264587402344,0.04649162292480469,0.044345855712890625
mps-uncap,0.2,0.048160552978515625,0.049114227294921875,0.04744529724121094
mps-uncap,0.3,0.04553794860839844,0.04792213439941406,0.04673004150390625
mps-uncap,0.4,0.22673606872558594,0.43892860412597656,0.049114227294921875
