mode,load,0_densenet121-2,1_mobilenet_v2-8,2_vgg13-32
mps-uncap,0.8,47.269344329833984,16.321396827697754,16.617774963378906
mps-uncap,0.9,49.356961250305176,16.587281227111816,16.76006317138672
mps-uncap,1.0,49.92799758911133,16.737699508666992,16.926288604736328
mps-uncap,0.5,33.27431678771973,15.384840965270996,15.81904888153076
mps-uncap,0.6,39.87407684326172,15.600299835205078,16.176342964172363
mps-uncap,0.7,42.03276634216309,16.18368625640869,16.365957260131836
mps-uncap,0.1,18.04041862487793,6.387948989868164,14.840221405029297
mps-uncap,0.2,19.700169563293457,9.086751937866213,15.202951431274414
mps-uncap,0.3,26.372051239013675,14.004278182983397,15.352964401245117
mps-uncap,0.4,27.140665054321296,15.040850639343263,15.496158599853516
