mode,load,0_densenet121-2,1_mobilenet_v2-8,2_vgg13-32
mps-uncap,0.8,7.035493850708008,2.2187232971191406,14.57357406616211
mps-uncap,0.9,6.970882415771484,2.23541259765625,14.58740234375
mps-uncap,1.0,7.107257843017578,2.2313594818115234,14.667510986328125
mps-uncap,0.5,7.078647613525391,2.2628307342529297,14.53089714050293
mps-uncap,0.6,7.064342498779297,2.2630691528320312,14.560937881469727
mps-uncap,0.7,7.058143615722656,2.2351741790771484,14.569997787475586
mps-uncap,0.1,7.981538772583008,2.3250579833984375,14.548778533935547
mps-uncap,0.2,7.102251052856445,2.3114681243896484,14.518976211547852
mps-uncap,0.3,7.347822189331055,2.306699752807617,14.512777328491211
mps-uncap,0.4,7.06934928894043,2.2509098052978516,14.523744583129883
