mode,load,0_alexnet-2,1_densenet121-8,2_efficientnet_b5-2
mps-uncap,0.8,0.01049041748046875,0.012159347534179688,0.0133514404296875
mps-uncap,0.9,0.011205673217773438,0.016689300537109375,0.013589859008789062
mps-uncap,1.0,0.010728836059570312,0.013113021850585938,0.0133514404296875
mps-uncap,0.5,0.009298324584960938,0.012159347534179688,0.010013580322265625
mps-uncap,0.6,0.008821487426757812,0.01049041748046875,0.01239776611328125
mps-uncap,0.7,0.009298324584960938,0.01049041748046875,0.012159347534179688
mps-uncap,0.1,0.011205673217773438,0.0133514404296875,0.010013580322265625
mps-uncap,0.2,0.010967254638671875,0.012874603271484375,0.009775161743164062
mps-uncap,0.3,0.009059906005859375,0.012636184692382812,0.01239776611328125
mps-uncap,0.4,0.008821487426757812,0.0095367431640625,0.01239776611328125
