mode,load,0_alexnet-2,1_densenet121-8,2_efficientnet_b5-2
mps-uncap,0.8,1697.3595362662536,608.8392417159353,127.4228615211849
mps-uncap,0.9,1820.4529173208775,604.2288333092589,122.25784902847543
mps-uncap,1.0,1821.5375172701079,613.0162140404992,120.21429732196223
mps-uncap,0.5,1137.7986451291124,388.1792916941457,86.83265813473433
mps-uncap,0.6,1359.7820530723138,467.4343969630171,103.98838981402248
mps-uncap,0.7,1561.2542881311108,548.2507598086208,118.25504062740335
mps-uncap,0.1,231.52371754917334,77.27831480344949,16.76217238131506
mps-uncap,0.2,461.11270329947945,163.63803231049062,33.94673931888586
mps-uncap,0.3,681.2958061699436,227.5184902060813,49.38534584579536
mps-uncap,0.4,905.9843625996222,317.55354161979875,66.24671262412885
