mode,load,0_resnet101-16,1_resnet18-16,2_vgg11-16
mps-uncap,0.6,37.55750656127932,11.94224357604981,12.962007522583008
mig,0.6,66.49441719055179,24.126601219177257,57.52472877502441
mps-uncap,0.7,44.22686100006105,13.7251615524292,13.965916633605957
mig,0.7,89.66839313507081,29.455232620239265,86.61129474639897
mps-uncap,0.8,64.04449939727785,18.537807464599613,14.938068389892578
mig,0.8,123.8940954208374,45.538377761840835,119.69802379608157
mps-uncap,0.9,112.15710639953613,28.646659851074215,17.539358139038086
mig,0.9,262.4040126800537,100.477933883667,224.80344772338867
mps-uncap,1.0,464.0827178955078,62.427568435668945,19.24285888671875
mig,1.0,785.0581645965576,1615.5741214752197,1490.8011198043823
mps-uncap,1.1,9030.575895309448,223.36387634277344,22.46863842010498
mig,1.1,7917.6384925842285,9431.833744049072,9150.459480285645
mps-uncap,1.2,19666.390895843506,6539.821434020996,23.816490173339837
mig,1.2,15211.525559425356,15251.23474597931,15417.674803733826
mps-uncap,1.3,26134.764599800114,14604.31048870087,26.00054740905762
mig,1.3,19729.55415248871,18540.479755401608,19272.462606430054
