mode,load,0_resnet101-16,1_resnet18-16,2_vgg11-16
mps-uncap,0.6,414.5147265206578,1171.3635435230076,444.2776196582751
mig,0.6,406.4044403593649,1208.9831907947741,444.4308158311877
mps-uncap,0.7,485.5664800014052,1387.8143520548067,526.6743893664047
mig,0.7,485.7025734205489,1382.8684116596173,530.7942864527499
mps-uncap,0.8,567.9603123843401,1604.2125657643542,592.1655135529733
mig,0.8,550.1110121791055,1615.7138522601022,599.9293287679811
mps-uncap,0.9,621.1812976717698,1768.527973059636,691.2821581065645
mig,0.9,629.7150187912109,1797.2984742185558,690.3179286484853
mps-uncap,1.0,675.4937388254871,1997.6267103239768,778.1063432699148
mig,1.0,664.7563985639861,1995.0600904731746,757.9615073873343
mps-uncap,1.1,680.8667559186916,2210.4193570446887,845.0132552555367
mig,1.1,692.4665162448863,1989.366843564939,759.3103422021368
mps-uncap,1.2,638.0298029868011,2230.8332309838397,917.5405729346703
mig,1.2,692.859436489102,1987.452378361635,758.5204665478158
mps-uncap,1.3,614.9407599257113,2152.213205295657,994.3869093300718
mig,1.3,692.8764958237063,1987.1242232728073,759.3251578654638
