mode,load,0_resnet101-16,1_resnet18-16,2_vgg11-16
mps-uncap,0.6,10.703325271606445,2.5713443756103516,6.010293960571289
mig,0.6,21.38495445251465,7.201671600341797,19.65928077697754
mps-uncap,0.7,10.711908340454102,2.465963363647461,5.969524383544922
mig,0.7,21.455049514770508,7.22193717956543,19.753694534301758
mps-uncap,0.8,10.81085205078125,2.4824142456054688,5.984306335449219
mig,0.8,21.468162536621094,7.292270660400391,19.783735275268555
mps-uncap,0.9,10.785579681396484,2.4466514587402344,5.929708480834961
mig,0.9,21.579504013061523,7.28917121887207,19.820690155029297
mps-uncap,1.0,10.831594467163086,2.4492740631103516,6.014823913574219
mig,1.0,21.7282772064209,7.377386093139648,19.846200942993164
mps-uncap,1.1,23.597240447998047,3.892183303833008,6.790399551391602
mig,1.1,21.74663543701172,7.41124153137207,19.823789596557617
mps-uncap,1.2,11.396169662475586,3.055095672607422,6.892204284667969
mig,1.2,21.546363830566406,7.515668869018555,19.913673400878906
mps-uncap,1.3,28.73849868774414,4.305839538574219,7.442235946655273
mig,1.3,22.611141204833984,7.4977874755859375,19.835472106933594
