mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,20.84827423095703,14.750003814697266,21.27242088317871
mig,1.0,18.2955265045166,11.729955673217773,18.784284591674805
