mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,5.364656448364258,1.6467571258544922,4.243373870849609
mig,1.0,7.123470306396484,3.4945011138916016,6.428956985473633
