mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,8.522987365722656,2.675294876098633,8.447408676147461
mig,1.0,7.9345703125,3.9339065551757812,7.088899612426758
