mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,5.364894866943359,1.6467571258544922,4.243612289428711
mig,1.0,7.123708724975586,3.494739532470703,6.429195404052734
