mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,9.345769882202148,4.23121452331543,9.38105583190918
mig,1.0,8.720016479492188,4.602909088134766,7.963800430297852
