mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,8.522987365722656,2.6750564575195312,8.44717025756836
mig,1.0,7.934331893920898,3.9339065551757812,7.088661193847656
