mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,3907.316241821101,5324.498433512568,3909.91279110664
mig,1.0,3999.613785236947,3959.9438591277776,4441.91789040644
