mode,load,0_squeezenet1_1-32,1_alexnet-16,2_mobilenet_v3_small-32
mps-uncap,1.0,0.000476837158203125,0.0054836273193359375,0.003337860107421875
mig,1.0,0.0040531158447265625,0.006198883056640625,0.0030994415283203125
