mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,50.887346267700195,2.7272701263427734,1.7881393432617188
mps-uncap,0.9,51.86891555786133,2.8028488159179688,1.8084049224853516
mps-uncap,1.0,52.16479301452637,2.7227401733398438,1.7974376678466797
mps-uncap,0.5,48.39468002319336,2.7468204498291016,1.7843246459960938
mps-uncap,0.6,49.738168716430664,2.8028488159179688,1.7919540405273438
mps-uncap,0.7,49.1335391998291,2.7222633361816406,1.7838478088378906
mps-uncap,0.1,48.19774627685547,2.8057098388671875,1.7879009246826172
mps-uncap,0.2,48.22564125061035,2.749204635620117,1.783132553100586
mps-uncap,0.3,48.20132255554199,2.7627944946289062,1.7845630645751953
mps-uncap,0.4,48.346519470214844,2.794027328491211,1.7936229705810547
