mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,58.38346481323242,7.137537002563477,4.824399948120117
mps-uncap,0.9,60.4625940322876,8.4381103515625,4.842281341552734
mps-uncap,1.0,61.40756607055664,7.943987846374512,5.324721336364746
mps-uncap,0.5,53.414106369018555,6.641387939453125,2.6127099990844727
mps-uncap,0.6,54.541826248168945,6.772279739379883,4.0416717529296875
mps-uncap,0.7,56.30934238433838,6.610631942749023,4.334926605224609
mps-uncap,0.1,49.11088943481445,6.911158561706543,2.6671886444091797
mps-uncap,0.2,50.26745796203613,6.787300109863281,2.591729164123535
mps-uncap,0.3,51.21040344238281,6.757497787475586,2.6056766510009766
mps-uncap,0.4,52.29520797729492,6.778955459594727,2.6094913482666016
