mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,428.5747061300403,311.0869791741984,989.027326243612
mps-uncap,0.9,473.5257092581352,337.73127577251057,1131.5646980842455
mps-uncap,1.0,501.47454579244055,382.1354561585397,1262.2764531266887
mps-uncap,0.5,255.8606554501829,192.9108394814843,623.2284168521161
mps-uncap,0.6,313.74901873553364,221.71803774138203,742.6699473606224
mps-uncap,0.7,336.6321608091823,262.03985878222693,878.9404051383111
mps-uncap,0.1,54.50941622420145,38.65043140608495,122.56461337094412
mps-uncap,0.2,94.42336871425569,74.49730362294915,247.96611385710113
mps-uncap,0.3,147.48719902884605,115.22117458399063,375.4366204551933
mps-uncap,0.4,216.2045333088169,150.10185252479357,490.9450351403313
