mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,61.799440383911126,17.09587097167969,11.639175415039064
mps-uncap,0.9,62.54978656768799,18.49130630493164,10.859947204589847
mps-uncap,1.0,62.59622573852538,17.708585262298584,11.844847202301025
mps-uncap,0.5,59.500627517700195,17.45811462402344,10.822331905364992
mps-uncap,0.6,60.324716567993164,17.79834270477295,10.898447036743162
mps-uncap,0.7,60.76234579086304,16.641006469726562,11.572732925415039
mps-uncap,0.1,51.90094947814942,14.125852584838858,10.338134765625004
mps-uncap,0.2,53.53314638137817,14.786019325256344,10.691037178039544
mps-uncap,0.3,55.74661731719971,15.357604026794432,10.974397659301758
mps-uncap,0.4,57.266387939453125,16.08051061630249,11.250023841857912
