mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,422.5198650360106,54.94988441467286,60.09654998779304
mps-uncap,0.9,1235.7402324676498,133.52562904357927,94.70527648925784
mps-uncap,1.0,1178.4864664077757,200.16202449798584,1355.1290011405945
mps-uncap,0.5,166.49715900421154,33.7360954284669,22.2362780570984
mps-uncap,0.6,245.67010402679443,39.37254428863527,30.49573898315429
mps-uncap,0.7,239.32009935379028,37.715187072753906,35.31524181365964
mps-uncap,0.1,79.89159822463989,14.318778514862055,10.747346878051761
mps-uncap,0.2,123.06421518325806,15.438187122344944,11.2156081199646
mps-uncap,0.3,123.62815380096434,21.583509445190423,16.094198226928707
mps-uncap,0.4,180.9323883056641,23.69331836700439,19.86033439636232
