mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,49.68523979187012,2.6857852935791016,1.7652511596679688
mps-uncap,0.9,48.5532283782959,2.747774124145508,1.7857551574707031
mps-uncap,1.0,49.201011657714844,2.6874542236328125,1.7628669738769531
mps-uncap,0.5,48.33412170410156,2.7153491973876953,1.7690658569335938
mps-uncap,0.6,48.44999313354492,2.7725696563720703,1.7805099487304688
mps-uncap,0.7,49.071311950683594,2.6655197143554688,1.7676353454589844
mps-uncap,0.1,48.16293716430664,2.760171890258789,1.7747879028320312
mps-uncap,0.2,48.13194274902344,2.7081966400146484,1.7714500427246094
mps-uncap,0.3,48.17080497741699,2.660989761352539,1.7735958099365234
mps-uncap,0.4,48.25711250305176,2.752065658569336,1.7809867858886719
