mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,256.48894309997553,30.52759170532227,31.22992515563965
mps-uncap,0.9,711.3582611083984,70.76830863952635,48.57811927795414
mps-uncap,1.0,881.004047393799,119.11768913269046,973.432230949402
mps-uncap,0.5,108.58023166656494,18.334293365478516,11.735749244689949
mps-uncap,0.6,148.34535121917727,22.109031677246094,15.751361846923828
mps-uncap,0.7,162.79911994934082,22.752714157104492,20.17550468444825
mps-uncap,0.1,51.31494998931885,8.105206489562988,4.064321517944337
mps-uncap,0.2,62.42127418518067,10.356712341308596,5.688500404357916
mps-uncap,0.3,87.56241798400877,13.114047050476072,8.555698394775396
mps-uncap,0.4,105.03787994384766,15.051341056823732,10.805606842041016
