mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,115.19980430603027,13.613462448120117,11.008501052856445
mps-uncap,0.9,196.73848152160645,23.444652557373047,16.283512115478516
mps-uncap,1.0,363.3003234863281,33.18905830383301,169.64423656463623
mps-uncap,0.5,56.11574649810791,7.404565811157227,3.226757049560547
mps-uncap,0.6,67.72863864898682,8.53586196899414,4.601955413818359
mps-uncap,0.7,80.80768585205078,9.132623672485352,6.386995315551758
mps-uncap,0.1,49.32200908660889,7.043719291687012,2.755403518676758
mps-uncap,0.2,50.42409896850586,6.98089599609375,2.6807785034179688
mps-uncap,0.3,51.91445350646973,7.024049758911133,2.705097198486328
mps-uncap,0.4,54.441213607788086,7.180929183959961,2.7914047241210938
