mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,362.49848365783674,45.130395889282354,53.980450630188
mps-uncap,0.9,1175.3214311599716,121.84801101684582,89.11557197570802
mps-uncap,1.0,1117.4957895278928,191.39349937438965,1349.8586773872375
mps-uncap,0.5,113.32490682601937,26.676082611083984,16.227111816406282
mps-uncap,0.6,186.5690803527832,31.438822746276866,24.52692985534661
mps-uncap,0.7,180.2237629890442,29.577016830444332,28.828759193420392
mps-uncap,0.1,31.26219987869263,5.783252716064439,2.665920257568363
mps-uncap,0.2,73.4204578399658,7.365007400512656,4.253058433532713
mps-uncap,0.3,73.31069469451901,13.249747753143305,9.108567237853997
mps-uncap,0.4,127.81018257141113,15.180249214172358,14.013504981994634
