mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,0.014543533325195312,0.009298324584960938,0.00858306884765625
mps-uncap,0.9,0.015735626220703125,0.009775161743164062,0.010013580322265625
mps-uncap,1.0,0.019311904907226562,0.01049041748046875,0.009775161743164062
mps-uncap,0.5,0.015974044799804688,0.011205673217773438,0.010013580322265625
mps-uncap,0.6,0.015735626220703125,0.011205673217773438,0.010013580322265625
mps-uncap,0.7,0.015974044799804688,0.010013580322265625,0.008344650268554688
mps-uncap,0.1,0.02288818359375,0.011682510375976562,0.011682510375976562
mps-uncap,0.2,0.025033950805664062,0.010967254638671875,0.011205673217773438
mps-uncap,0.3,0.017642974853515625,0.010728836059570312,0.010013580322265625
mps-uncap,0.4,0.01430511474609375,0.010728836059570312,0.008821487426757812
