mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,197.87034988403312,21.868371963500977,25.06399154663087
mps-uncap,0.9,654.2284250259398,61.229324340820305,42.0041561126709
mps-uncap,1.0,819.635057449341,110.05287170410156,967.0408725738527
mps-uncap,0.5,54.41410541534424,9.516668319702148,5.898308753967296
mps-uncap,0.6,94.64645385742192,13.386821746826179,9.14907455444336
mps-uncap,0.7,105.31985759735107,14.153337478637697,14.111089706420918
mps-uncap,0.1,0.06830692291259766,0.07195472717285158,0.07152557373046875
mps-uncap,0.2,10.41948795318605,1.4470577239990259,0.07123947143554692
mps-uncap,0.3,37.04738616943359,4.607558250427246,1.449584960937505
mps-uncap,0.4,52.42424011230467,5.983805656433109,3.4407138824462864
