mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,410.7644557952881,103.55901718139648,91.89271926879883
mps-uncap,0.9,1312.3760223388672,228.95383834838867,125.5638599395752
mps-uncap,1.0,1385.1568698883057,223.40106964111328,1422.250747680664
mps-uncap,0.5,184.17763710021973,48.44927787780762,27.475595474243164
mps-uncap,0.6,269.87266540527344,51.879167556762695,50.08125305175781
mps-uncap,0.7,305.4187297821045,44.463396072387695,51.41735076904297
mps-uncap,0.1,32.54508972167969,8.760213851928711,9.895563125610352
mps-uncap,0.2,118.10111999511719,15.936613082885742,17.502784729003906
mps-uncap,0.3,93.40453147888184,23.94390106201172,15.585660934448242
mps-uncap,0.4,148.9274501800537,25.000333786010742,24.295806884765625
