mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,62.360525131225586,18.181324005126953,13.225317001342773
mps-uncap,0.9,63.34948539733887,20.628690719604492,11.824846267700195
mps-uncap,1.0,64.03970718383789,18.4476375579834,12.868165969848633
mps-uncap,0.5,59.806108474731445,18.871068954467773,11.729717254638672
mps-uncap,0.6,61.35916709899902,18.972158432006836,12.529373168945312
mps-uncap,0.7,61.21969223022461,17.815351486206055,12.454986572265625
mps-uncap,0.1,52.37913131713867,16.09325408935547,12.048482894897461
mps-uncap,0.2,55.948734283447266,17.017841339111328,12.675046920776367
mps-uncap,0.3,56.001901626586914,17.167091369628906,11.932134628295898
mps-uncap,0.4,59.10754203796387,17.03023910522461,12.08043098449707
