mode,load,0_efficientnet_b7-32,1_mobilenet_v3_large-4,2_squeezenet1_0-8
mps-uncap,0.8,61.09189987182617,14.711427688598633,10.097742080688477
mps-uncap,0.9,62.079453468322754,16.83053970336914,9.885740280151367
mps-uncap,1.0,61.937618255615234,15.70107936859131,10.452532768249513
mps-uncap,0.5,57.02824592590332,12.903070449829105,8.293366432189943
mps-uncap,0.6,58.31875801086426,13.552951812744155,9.162664413452148
mps-uncap,0.7,59.628963470458984,13.72523307800293,9.629201889038088
mps-uncap,0.1,50.702691078186035,7.634902000427247,3.1425476074218754
mps-uncap,0.2,51.845574378967285,7.5460195541381845,4.869985580444339
mps-uncap,0.3,53.4639835357666,8.62743854522705,6.439352035522464
mps-uncap,0.4,54.99014854431152,11.16604804992676,8.277034759521483
