mode,load,0_vgg19-2,1_densenet161-2,2_densenet169-4
mps-uncap,1.0,0.006198883056640625,0.0011920928955078125,0.000476837158203125
mig,1.0,0.0057220458984375,0.00095367431640625,0.001430511474609375
