mode,load,0_efficientnet_b7-8,1_mobilenet_v3_small-32,2_squeezenet1_1-16
mps-uncap,0.8,581.1860466003418,73.74232292175286,110.43207406997679
mps-uncap,0.9,2404.983439445495,146.14152908325195,637.1117162704468
mps-uncap,1.0,1996.3227272033691,8036.7161083221445,5691.913020610809
mps-uncap,0.5,52.28016853332518,19.350061416625984,10.25156497955322
mps-uncap,0.6,76.7179489135742,24.266662597656236,12.237956523895297
mps-uncap,0.7,99.45962667465214,25.408282279968237,23.86820316314697
mps-uncap,0.1,33.97345066070556,9.437010288238522,4.0176725387573216
mps-uncap,0.2,33.92225503921506,16.74159526824951,4.989478588104242
mps-uncap,0.3,32.767581939697266,17.198438644409176,7.232742309570324
mps-uncap,0.4,41.08281850814815,14.485368728637695,9.235043525695799
