mode,load,0_efficientnet_b7-8,1_mobilenet_v3_small-32,2_squeezenet1_1-16
mps-uncap,0.8,33.89106273651123,9.454722404479979,7.338144779205321
mps-uncap,0.9,34.00496959686279,9.563922882080078,7.338335514068605
mps-uncap,1.0,30.938053131103516,10.50236701965332,7.279188632965087
mps-uncap,0.5,31.71036958694458,10.704164505004885,7.0266056060791
mps-uncap,0.6,32.98948287963867,10.727314949035632,6.8730401992797905
mps-uncap,0.7,33.26078653335573,9.601051807403556,7.50972032546997
mps-uncap,0.1,46.476840972900376,11.480393409728999,6.936104297637939
mps-uncap,0.2,39.34370279312134,10.862970352172843,7.832942008972167
mps-uncap,0.3,26.98657989501953,10.425822734832762,7.998914718627931
mps-uncap,0.4,29.792811870574948,10.005197525024414,7.475762367248533
