mode,load,0_efficientnet_b7-8,1_mobilenet_v3_small-32,2_squeezenet1_1-16
mps-uncap,0.8,224.09392071106217,3979.084532463961,2960.8318579528504
mps-uncap,0.9,244.96403177163776,4579.0976832506385,3271.516499393803
mps-uncap,1.0,266.7958357221648,4401.0504644906505,3315.8439478243563
mps-uncap,0.5,137.5470886408532,2519.487923488461,1813.7727782112381
mps-uncap,0.6,170.75154966508657,3001.3991740030933,2155.431866402414
mps-uncap,0.7,185.43435637845386,3486.7912946934907,2516.952282469861
mps-uncap,0.1,27.44928463804713,542.6380800308093,373.33372781762387
mps-uncap,0.2,54.9197538753489,993.8815609617576,746.7435203934732
mps-uncap,0.3,79.11103347569535,1519.4938036214348,1103.6354641896914
mps-uncap,0.4,114.76956684268559,2024.398584957363,1462.8496353714322
