mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,198.88839600118857,398.519716708229,810.9706995302009
mps-uncap,0.9,225.7372734625736,453.9549984947419,907.9416721912146
mps-uncap,1.0,230.77435874697767,461.3381770870514,922.9740242358249
mps-uncap,0.5,122.27771288545144,246.19279006056308,514.1903392310275
mps-uncap,0.6,153.35187531218517,298.2668915883471,595.863353398151
mps-uncap,0.7,174.3170543166608,356.49208262584455,692.1993769717551
mps-uncap,0.1,25.996339676379208,50.84919933344559,98.04212081111902
mps-uncap,0.2,51.08912724665206,98.53762837851052,196.7927468431224
mps-uncap,0.3,73.09998966701222,148.40370174593187,293.5758568331878
mps-uncap,0.4,98.36239295151026,206.107606176036,408.33751407636373
