mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,4.001855850219727,3.0961036682128906,5.665779113769531
mps-uncap,0.9,4.001855850219727,3.130674362182617,5.669116973876953
mps-uncap,1.0,4.177093505859375,3.406524658203125,5.861997604370117
mps-uncap,0.5,4.037380218505859,3.0651092529296875,5.557537078857422
mps-uncap,0.6,3.942251205444336,3.098011016845703,5.569934844970703
mps-uncap,0.7,3.968954086303711,3.0753612518310547,5.636692047119141
mps-uncap,0.1,4.781961441040039,3.3960342407226562,6.150484085083008
mps-uncap,0.2,4.096508026123047,3.1256675720214844,5.665063858032227
mps-uncap,0.3,4.015445709228516,3.114938735961914,5.653858184814453
mps-uncap,0.4,4.019737243652344,3.091096878051758,5.595684051513672
