mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,12.394905090332031,12.169361114501953,21.938800811767578
mps-uncap,0.9,77.10886001586914,61.667680740356445,91.51220321655273
mps-uncap,1.0,2460.8497619628906,2985.4276180267334,2381.387233734131
mps-uncap,0.5,7.655501365661621,6.009221076965332,8.145570755004883
mps-uncap,0.6,7.125377655029297,6.796836853027344,9.039878845214844
mps-uncap,0.7,8.291006088256836,8.116364479064941,11.790275573730469
mps-uncap,0.1,9.50312614440918,3.643512725830078,6.659269332885742
mps-uncap,0.2,9.652376174926758,3.624439239501953,6.64973258972168
mps-uncap,0.3,9.488582611083984,3.6134719848632812,6.756067276000977
mps-uncap,0.4,8.904576301574707,4.287123680114746,7.295966148376465
